year,estimated-population
1950,6413
1951,6269
1952,6245
1953,6319
1954,6470
1955,6676
1956,6918
1957,7178
1958,7432
1959,7667
1960,7867
1961,8026
1962,8141
1963,8228
1964,8299
1965,8371
1966,8442
1967,8518
1968,8632
1969,8831
1970,9144
1971,9583
1972,10137
1973,10785
1974,11494
1975,12238
1976,13020
1977,13840
1978,14663
1979,15447
1980,16164
1981,16795
1982,17357
1983,17911
1984,18543
1985,19315
1986,20254
1987,21343
1988,22539
1989,23776
1990,25009
1991,26211
1992,27402
1993,28652
1994,30055
1995,31672
1996,33535
1997,35596
1998,37742
1999,39810
2000,41685
2001,43317
2002,44742
2003,46032
2004,47299
2005,48623
2006,50026
2007,51472
2008,52912
2009,54275
2010,55509
