month,belize
1999-01-01 00:00:00,77.30
1999-02-01 00:00:00,97.90
1999-03-01 00:00:00,18.00
1999-04-01 00:00:00,66.50
1999-05-01 00:00:00,8.80
1999-06-01 00:00:00,192.00
1999-07-01 00:00:00,307.20
1999-08-01 00:00:00,165.50
1999-09-01 00:00:00,227.40
1999-10-01 00:00:00,139.90
1999-11-01 00:00:00,164.10
1999-12-01 00:00:00,102.50
2000-01-01 00:00:00,128.20
2000-02-01 00:00:00,2.90
2000-03-01 00:00:00,16.10
2000-04-01 00:00:00,23.90
2000-05-01 00:00:00,177.20
2000-06-01 00:00:00,281.10
2000-07-01 00:00:00,317.30
2000-08-01 00:00:00,296.40
2000-09-01 00:00:00,159.40
2000-10-01 00:00:00,474.00
2000-11-01 00:00:00,141.70
2000-12-01 00:00:00,142.90
2001-01-01 00:00:00,81.60
2001-02-01 00:00:00,183.40
2001-03-01 00:00:00,22.50
2001-04-01 00:00:00,136.60
2001-05-01 00:00:00,168.40
2001-06-01 00:00:00,61.50
2001-07-01 00:00:00,211.40
2001-08-01 00:00:00,312.20
2001-09-01 00:00:00,408.00
2001-10-01 00:00:00,349.00
2001-11-01 00:00:00,84.00
2001-12-01 00:00:00,173.00
2002-01-01 00:00:00,68.00
2002-02-01 00:00:00,49.50
2002-03-01 00:00:00,71.80
2002-04-01 00:00:00,0.00
2002-05-01 00:00:00,192.90
2002-06-01 00:00:00,827.10
2002-07-01 00:00:00,317.90
2002-08-01 00:00:00,227.70
2002-09-01 00:00:00,49.90
2002-10-01 00:00:00,227.10
2002-11-01 00:00:00,79.50
2002-12-01 00:00:00,127.40
2003-01-01 00:00:00,52.80
2003-02-01 00:00:00,8.20
2003-03-01 00:00:00,19.40
2003-04-01 00:00:00,34.90
2003-05-01 00:00:00,69.00
2003-06-01 00:00:00,133.60
2003-07-01 00:00:00,225.40
2003-08-01 00:00:00,146.60
2003-09-01 00:00:00,116.80
2003-10-01 00:00:00,110.80
2003-11-01 00:00:00,255.30
2003-12-01 00:00:00,49.00
2004-01-01 00:00:00,83.50
2004-02-01 00:00:00,46.00
2004-07-01 00:00:00,239.20
2004-08-01 00:00:00,63.30
2004-09-01 00:00:00,204.10
2004-10-01 00:00:00,186.20
2004-11-01 00:00:00,189.90
2004-12-01 00:00:00,42.20
2005-01-01 00:00:00,69.60
2005-02-01 00:00:00,10.60
2005-03-01 00:00:00,6.70
2005-04-01 00:00:00,58.50
2005-05-01 00:00:00,107.80
2005-06-01 00:00:00,320.20
2005-07-01 00:00:00,178.20
2005-08-01 00:00:00,237.00
2005-09-01 00:00:00,249.90
2005-10-01 00:00:00,201.20
2005-11-01 00:00:00,252.30
2005-12-01 00:00:00,97.60
2006-01-01 00:00:00,269.20
2006-02-01 00:00:00,52.20
2006-03-01 00:00:00,39.10
2006-04-01 00:00:00,10.70
2006-05-01 00:00:00,196.10
2006-06-01 00:00:00,315.20
2006-07-01 00:00:00,507.90
2006-08-01 00:00:00,196.40
2006-09-01 00:00:00,173.20
2006-11-01 00:00:00,174.20
2006-12-01 00:00:00,307.10
2007-01-01 00:00:00,182.50
2007-02-01 00:00:00,27.30
2007-03-01 00:00:00,102.30
2007-04-01 00:00:00,5.40
2007-05-01 00:00:00,21.50
2007-06-01 00:00:00,103.40
2007-07-01 00:00:00,168.00
2007-08-01 00:00:00,325.90
2007-09-01 00:00:00,205.80
2007-10-01 00:00:00,147.90
2007-11-01 00:00:00,311.60
2007-12-01 00:00:00,85.10
2008-01-01 00:00:00,104.80
2008-02-01 00:00:00,54.30
2008-03-01 00:00:00,137.00
2008-04-01 00:00:00,16.10
2008-05-01 00:00:00,265.60
2008-06-01 00:00:00,325.40
2008-07-01 00:00:00,228.70
2008-08-01 00:00:00,111.40
2008-09-01 00:00:00,288.70
2008-10-01 00:00:00,420.80
2008-11-01 00:00:00,0.00
2008-12-01 00:00:00,105.80
2009-01-01 00:00:00,216.30
2009-02-01 00:00:00,40.10
2009-03-01 00:00:00,25.90
2009-04-01 00:00:00,26.20
2009-05-01 00:00:00,88.10
2009-06-01 00:00:00,201.90
2009-07-01 00:00:00,269.50
2009-08-01 00:00:00,204.00
2009-09-01 00:00:00,217.40
2009-10-01 00:00:00,47.00
2009-11-01 00:00:00,151.60
2009-12-01 00:00:00,161.30
